--- ROUND ROBIN GANTT ---
[515.141] -- P038 -- [519.141]
[519.142] -- P100 -- [520.142]
[520.143] -- P039 -- [524.143]
[524.144] -- P016 -- [525.144]
[525.145] -- P042 -- [528.145]
[528.146] -- P043 -- [532.146]
[532.147] -- P017 -- [536.147]
[536.148] -- P044 -- [540.148]
[540.149] -- P045 -- [544.149]
[544.150] -- P046 -- [548.150]
[548.151] -- P018 -- [552.151]
[552.152] -- P048 -- [553.152]
[553.153] -- P019 -- [557.153]
[557.154] -- P049 -- [561.154]
[561.155] -- P050 -- [565.155]
[565.156] -- P051 -- [569.156]
[569.157] -- P052 -- [573.157]
[573.158] -- P053 -- [577.158]
[577.159] -- P055 -- [579.159]
[579.160] -- P056 -- [583.160]
[583.161] -- P057 -- [587.161]
[587.162] -- P023 -- [589.162]
[589.163] -- P058 -- [593.163]
[593.164] -- P059 -- [597.164]
[597.165] -- P024 -- [601.165]
[601.166] -- P062 -- [604.166]
[604.167] -- P063 -- [608.167]
[608.168] -- P025 -- [612.168]
[612.169] -- P064 -- [616.169]
[616.170] -- P065 -- [620.170]
[620.171] -- P066 -- [624.171]
[624.172] -- P026 -- [628.172]
[628.173] -- P068 -- [629.173]
[629.174] -- P069 -- [633.174]
[633.175] -- P070 -- [637.175]
[637.176] -- P011 -- [639.176]
[639.177] -- P071 -- [643.177]
[643.178] -- P072 -- [647.178]
[647.179] -- P073 -- [651.179]
[651.180] -- P075 -- [653.180]
[653.181] -- P076 -- [657.181]
[657.182] -- P077 -- [661.182]
[661.183] -- P078 -- [665.183]
[665.184] -- P030 -- [668.184]
[668.185] -- P079 -- [672.185]
[672.186] -- P031 -- [676.186]
[676.187] -- P082 -- [679.187]
[679.188] -- P012 -- [683.188]
[683.189] -- P083 -- [687.189]
[687.190] -- P084 -- [691.190]
[691.191] -- P032 -- [695.191]
[695.192] -- P085 -- [699.192]
[699.193] -- P086 -- [703.193]
[703.194] -- P033 -- [707.194]
[707.195] -- P088 -- [708.195]
[708.196] -- P013 -- [712.196]
[712.197] -- P089 -- [716.197]
[716.198] -- P090 -- [720.198]
[720.199] -- P091 -- [724.199]
[724.200] -- P092 -- [728.200]
[728.201] -- P093 -- [732.201]
[732.202] -- P036 -- [733.202]
[733.203] -- P095 -- [735.203]
[735.204] -- P037 -- [739.204]
[739.205] -- P096 -- [743.205]
[743.206] -- P097 -- [747.206]
[747.207] -- P006 -- [750.207]
[750.208] -- P098 -- [754.208]
[754.209] -- P099 -- [758.209]
[758.210] -- P038 -- [762.210]
[762.211] -- P039 -- [766.211]
[766.212] -- P043 -- [768.212]
[768.213] -- P044 -- [772.213]
[772.214] -- P045 -- [776.214]
[776.215] -- P046 -- [780.215]
[780.216] -- P018 -- [783.216]
[783.217] -- P019 -- [787.217]
[787.218] -- P050 -- [790.218]
[790.219] -- P051 -- [794.219]
[794.220] -- P052 -- [798.220]
[798.221] -- P053 -- [802.221]
[802.222] -- P056 -- [803.222]
[803.223] -- P057 -- [807.223]
[807.224] -- P058 -- [811.224]
[811.225] -- P059 -- [815.225]
[815.226] -- P024 -- [816.226]
[816.227] -- P063 -- [818.227]
[818.228] -- P025 -- [822.228]
[822.229] -- P064 -- [826.229]
[826.230] -- P065 -- [830.230]
[830.231] -- P066 -- [834.231]
[834.232] -- P026 -- [838.232]
[838.233] -- P070 -- [841.233]
[841.234] -- P071 -- [845.234]
[845.235] -- P072 -- [849.235]
[849.236] -- P073 -- [853.236]
[853.237] -- P076 -- [854.237]
[854.238] -- P077 -- [858.238]
[858.239] -- P078 -- [862.239]
[862.240] -- P079 -- [866.240]
[866.241] -- P031 -- [868.241]
[868.242] -- P012 -- [869.242]
[869.243] -- P083 -- [871.243]
[871.244] -- P084 -- [875.244]
[875.245] -- P032 -- [879.245]
[879.246] -- P085 -- [883.246]
[883.247] -- P086 -- [887.247]
[887.248] -- P033 -- [891.248]
[891.249] -- P013 -- [895.249]
[895.250] -- P090 -- [898.250]
[898.251] -- P091 -- [902.251]
[902.252] -- P092 -- [906.252]
[906.253] -- P093 -- [910.253]
[910.254] -- P096 -- [911.254]
[911.255] -- P097 -- [915.255]
[915.256] -- P098 -- [919.256]
[919.257] -- P099 -- [923.257]
[923.258] -- P038 -- [926.258]
[926.259] -- P039 -- [930.259]
[930.260] -- P044 -- [931.260]
[931.261] -- P045 -- [935.261]
[935.262] -- P046 -- [939.262]
[939.263] -- P019 -- [941.263]
[941.264] -- P051 -- [943.264]
[943.265] -- P052 -- [947.265]
[947.266] -- P053 -- [951.266]
[951.267] -- P058 -- [954.267]
[954.268] -- P059 -- [958.268]
[958.269] -- P064 -- [959.269]
[959.270] -- P065 -- [963.270]
[963.271] -- P066 -- [967.271]
[967.272] -- P026 -- [970.272]
[970.273] -- P071 -- [972.273]
[972.274] -- P072 -- [976.274]
[976.275] -- P073 -- [980.275]
[980.276] -- P078 -- [983.276]
[983.277] -- P079 -- [987.277]
[987.278] -- P084 -- [988.278]
[988.279] -- P032 -- [989.279]
[989.280] -- P085 -- [993.280]
[993.281] -- P086 -- [997.281]
[997.282] -- P033 -- [1001.282]
[1001.283] -- P091 -- [1003.283]
[1003.284] -- P092 -- [1007.284]
[1007.285] -- P093 -- [1011.285]
[1011.286] -- P098 -- [1014.286]
[1014.287] -- P099 -- [1018.287]
[1018.288] -- P039 -- [1020.288]
[1020.289] -- P046 -- [1023.289]
[1023.290] -- P052 -- [1024.290]
[1024.291] -- P053 -- [1028.291]
[1028.292] -- P059 -- [1030.292]
[1030.293] -- P066 -- [1033.293]
[1033.294] -- P072 -- [1034.294]
[1034.295] -- P073 -- [1038.295]
[1038.296] -- P079 -- [1040.296]
[1040.297] -- P086 -- [1043.297]
[1043.298] -- P092 -- [1044.298]
[1044.299] -- P093 -- [1048.299]
[1048.300] -- P099 -- [1050.300]

=== RESULTS FOR case1.csv ===
Avg Waiting: 551.0540
Avg Turnaround: 561.5540
Throughput T=50: 3
Throughput T=100: 7
Throughput T=150: 10
Throughput T=200: 11
Total Context Switches: 300
CPU Efficiency: %99.97
